Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency
"BEN","BENDIGO AND ADELAIDE BANK LTD","Financials","Equity","1,126,312.77","0.56","1,126,312.77","110,099.00","10.23","Australia","ASX - All Markets","AUD","1.00","AUD"
"LYC","LYNAS RARE EARTHS LTD","Materials","Equity","1,068,149.28","0.53","1,068,149.28","183,216.00","5.83","Australia","ASX - All Markets","AUD","1.00","AUD"
"IPL","INCITEC PIVOT LTD","Materials","Equity","1,059,186.93","0.53","1,059,186.93","374,271.00","2.83","Australia","ASX - All Markets","AUD","1.00","AUD"
"IGO","IGO LTD","Materials","Equity","956,265.75","0.48","956,265.75","131,175.00","7.29","Australia","ASX - All Markets","AUD","1.00","AUD"
"AUD","AUD CASH","Cash and/or Derivatives","Cash","952,395.43","0.47","952,395.43","952,395.00","100.00","Australia","-","AUD","1.00","AUD"
"CSR","CSR LTD","Materials","Equity","803,713.68","0.40","803,713.68","91,124.00","8.82","Australia","ASX - All Markets","AUD","1.00","AUD"
"LLC","LENDLEASE GROUP STAPLED UNITS","Real Estate","Equity","797,337.42","0.40","797,337.42","125,763.00","6.34","Australia","ASX - All Markets","AUD","1.00","AUD"
"SFR","SANDFIRE RESOURCES LTD","Materials","Equity","795,647.61","0.40","795,647.61","87,723.00","9.07","Australia","ASX - All Markets","AUD","1.00","AUD"
"AWC","ALUMINA LTD","Materials","Equity","738,485.44","0.37","738,485.44","479,536.00","1.54","Australia","ASX - All Markets","AUD","1.00","AUD"
"WEB","WEBJET LTD","Consumer Discretionary","Equity","646,382.40","0.32","646,382.40","74,640.00","8.66","Australia","ASX - All Markets","AUD","1.00","AUD"
"ILU","ILUKA RESOURCES LTD","Materials","Equity","604,352.19","0.30","604,352.19","81,559.00","7.41","Australia","ASX - All Markets","AUD","1.00","AUD"
"PRU","PERSEUS MINING LTD","Materials","Equity","604,296.55","0.30","604,296.55","270,985.00","2.23","Australia","ASX - All Markets","AUD","1.00","AUD"
"CGF","CHALLENGER LTD","Financials","Equity","598,651.34","0.30","598,651.34","86,261.00","6.94","Australia","ASX - All Markets","AUD","1.00","AUD"
"AUB","AUB GROUP LTD","Financials","Equity","595,570.20","0.30","595,570.20","20,292.00","29.35","Australia","ASX - All Markets","AUD","1.00","AUD"
"ANN","ANSELL LTD","Health Care","Equity","594,335.56","0.30","594,335.56","24,388.00","24.37","Australia","ASX - All Markets","AUD","1.00","AUD"
"HUB","HUB24 LTD","Financials","Equity","591,025.86","0.29","591,025.86","14,062.00","42.03","Australia","ASX - All Markets","AUD","1.00","AUD"
"ORA","ORORA LTD","Materials","Equity","584,938.14","0.29","584,938.14","257,682.00","2.27","Australia","ASX - All Markets","AUD","1.00","AUD"
"CIA","CHAMPION IRON LTD","Materials","Equity","533,008.14","0.27","533,008.14","74,651.00","7.14","Australia","ASX - All Markets","AUD","1.00","AUD"
"BRG","BREVILLE GROUP LTD","Consumer Discretionary","Equity","502,610.55","0.25","502,610.55","19,235.00","26.13","Australia","ASX - All Markets","AUD","1.00","AUD"
"PPT","PERPETUAL LTD","Financials","Equity","493,563.72","0.25","493,563.72","19,617.00","25.16","Australia","ASX - All Markets","AUD","1.00","AUD"
"SUL","SUPER RETAIL GROUP LTD","Consumer Discretionary","Equity","474,365.76","0.24","474,365.76","30,624.00","15.49","Australia","ASX - All Markets","AUD","1.00","AUD"
"NEU","NEUREN PHARMACEUTICALS LTD","Health Care","Equity","462,280.00","0.23","462,280.00","22,225.00","20.80","Australia","ASX - All Markets","AUD","1.00","AUD"
"NEC","NINE ENTERTAINMENT CO HOLDINGS LTD","Communication","Equity","444,531.60","0.22","444,531.60","265,392.00","1.68","Australia","ASX - All Markets","AUD","1.00","AUD"
"BGL","BELLEVUE GOLD LTD","Materials","Equity","420,383.36","0.21","420,383.36","220,096.00","1.91","Australia","ASX - All Markets","AUD","1.00","AUD"
"BAP","BAPCOR LTD","Consumer Discretionary","Equity","411,660.15","0.21","411,660.15","67,155.00","6.13","Australia","ASX - All Markets","AUD","1.00","AUD"
"RMS","RAMELIUS RESOURCES LTD","Materials","Equity","408,150.40","0.20","408,150.40","208,240.00","1.96","Australia","ASX - All Markets","AUD","1.00","AUD"
"APE","EAGERS AUTOMOTIVE LTD","Consumer Discretionary","Equity","403,770.40","0.20","403,770.40","29,689.00","13.60","Australia","ASX - All Markets","AUD","1.00","AUD"
"DRR","DETERRA ROYALTIES LTD","Materials","Equity","402,782.03","0.20","402,782.03","82,033.00","4.91","Australia","ASX - All Markets","AUD","1.00","AUD"
"SGM","SIMS LTD","Materials","Equity","401,574.60","0.20","401,574.60","31,871.00","12.60","Australia","ASX - All Markets","AUD","1.00","AUD"
"CTD","CORPORATE TRAVEL MANAGEMENT LTD","Consumer Discretionary","Equity","398,141.58","0.20","398,141.58","24,086.00","16.53","Australia","ASX - All Markets","AUD","1.00","AUD"
"NUF","NUFARM LTD","Materials","Equity","384,702.28","0.19","384,702.28","71,506.00","5.38","Australia","ASX - All Markets","AUD","1.00","AUD"
"GNC","GRAINCORP CLASS A LTD","Consumer Staples","Equity","353,351.46","0.18","353,351.46","41,718.00","8.47","Australia","ASX - All Markets","AUD","1.00","AUD"
"GOR","GOLD ROAD RESOURCES LTD","Materials","Equity","349,345.35","0.17","349,345.35","212,368.00","1.65","Australia","ASX - All Markets","AUD","1.00","AUD"
"MFG","MAGELLAN FINANCIAL GROUP LTD","Financials","Equity","341,598.00","0.17","341,598.00","34,680.00","9.85","Australia","ASX - All Markets","AUD","1.00","AUD"
"LTR","LIONTOWN RESOURCES LTD","Materials","Equity","338,184.11","0.17","338,184.11","279,491.00","1.21","Australia","ASX - All Markets","AUD","1.00","AUD"
"EMR","EMERALD RESOURCES","Materials","Equity","332,986.18","0.17","332,986.18","102,143.00","3.26","Australia","ASX - All Markets","AUD","1.00","AUD"
"BLD","BORAL LTD","Materials","Equity","316,726.32","0.16","316,726.32","53,142.00","5.96","Australia","ASX - All Markets","AUD","1.00","AUD"
"ELD","ELDERS LTD","Consumer Staples","Equity","301,821.27","0.15","301,821.27","31,407.00","9.61","Australia","ASX - All Markets","AUD","1.00","AUD"
"RRL","REGIS RESOURCES LTD","Materials","Equity","297,620.98","0.15","297,620.98","149,935.00","1.99","Australia","ASX - All Markets","AUD","1.00","AUD"
"PNV","POLYNOVO LTD","Health Care","Equity","286,304.75","0.14","286,304.75","133,165.00","2.15","Australia","ASX - All Markets","AUD","1.00","AUD"
"IRE","IRESS LTD","Information Technology","Equity","282,047.04","0.14","282,047.04","35,612.00","7.92","Australia","ASX - All Markets","AUD","1.00","AUD"
"WAF","WEST AFRICAN RESOURCES LTD","Materials","Equity","262,740.87","0.13","262,740.87","198,295.00","1.33","Australia","ASX - All Markets","AUD","1.00","AUD"
"ABC","ADBRI LTD","Materials","Equity","248,129.08","0.12","248,129.08","79,022.00","3.14","Australia","ASX - All Markets","AUD","1.00","AUD"
"SIG","SIGMA HEALTHCARE LTD","Health Care","Equity","243,500.37","0.12","243,500.37","202,075.00","1.21","Australia","ASX - All Markets","AUD","1.00","AUD"
"ING","INGHAMS GROUP LTD","Consumer Staples","Equity","243,097.40","0.12","243,097.40","66,785.00","3.64","Australia","ASX - All Markets","AUD","1.00","AUD"
"WGX","WESTGOLD RESOURCES LTD","Materials","Equity","236,586.70","0.12","236,586.70","96,566.00","2.45","Australia","ASX - All Markets","AUD","1.00","AUD"
"IMD","IMDEX LTD","Materials","Equity","232,214.80","0.12","232,214.80","95,170.00","2.44","Australia","ASX - All Markets","AUD","1.00","AUD"
"CCP","CREDIT CORP GROUP LTD","Financials","Equity","229,129.14","0.11","229,129.14","12,822.00","17.87","Australia","ASX - All Markets","AUD","1.00","AUD"
"HLI","HELIA GROUP LTD","Financials","Equity","225,385.40","0.11","225,385.40","58,390.00","3.86","Australia","ASX - All Markets","AUD","1.00","AUD"
"RED","RED","Materials","Equity","219,729.12","0.11","219,729.12","570,725.00","0.39","Australia","ASX - All Markets","AUD","1.00","AUD"
"NCK","NICK SCALI LTD","Consumer Discretionary","Equity","218,995.14","0.11","218,995.14","14,777.00","14.82","Australia","ASX - All Markets","AUD","1.00","AUD"
"BGA","BEGA CHEESE LTD","Consumer Staples","Equity","207,012.42","0.10","207,012.42","50,003.00","4.14","Australia","ASX - All Markets","AUD","1.00","AUD"
"JDO","JUDO CAPITAL HOLDINGS LTD","Financials","Equity","188,133.10","0.09","188,133.10","143,067.00","1.31","Australia","ASX - All Markets","AUD","1.00","AUD"
"FPR","FLEETPARTNERS GROUP LTD","Financials","Equity","186,149.25","0.09","186,149.25","50,175.00","3.71","Australia","ASX - All Markets","AUD","1.00","AUD"
"RSG","RESOLUTE MINING LTD","Materials","Equity","179,932.93","0.09","179,932.93","395,457.00","0.46","Australia","ASX - All Markets","AUD","1.00","AUD"
"HLS","HEALIUS LTD","Health Care","Equity","166,524.68","0.08","166,524.68","125,679.00","1.33","Australia","ASX - All Markets","AUD","1.00","AUD"
"ABB","AUSSIE BROADBAND LTD","Communication","Equity","161,979.84","0.08","161,979.84","46,017.00","3.52","Australia","ASX - All Markets","AUD","1.00","AUD"
"GEM","G8 EDUCATION LTD","Consumer Discretionary","Equity","157,662.95","0.08","157,662.95","135,333.00","1.17","Australia","ASX - All Markets","AUD","1.00","AUD"
"AX1","ACCENT GROUP LTD","Consumer Discretionary","Equity","150,102.68","0.07","150,102.68","76,583.00","1.96","Australia","ASX - All Markets","AUD","1.00","AUD"
"PRN","PERENTI LTD","Materials","Equity","147,031.95","0.07","147,031.95","150,802.00","0.97","Australia","ASX - All Markets","AUD","1.00","AUD"
"NAN","NANOSONICS LTD","Health Care","Equity","129,531.60","0.06","129,531.60","49,065.00","2.64","Australia","ASX - All Markets","AUD","1.00","AUD"
"VSL","VULCAN STEEL LTD","Materials","Equity","113,725.28","0.06","113,725.28","13,411.00","8.48","Australia","ASX - All Markets","AUD","1.00","AUD"
"ABG","ABACUS GROUP UNIT","Real Estate","Equity","98,669.94","0.05","98,669.94","80,877.00","1.22","Australia","ASX - All Markets","AUD","1.00","AUD"
"TYR","TYRO PAYMENTS LTD","Financials","Equity","87,341.53","0.04","87,341.53","86,907.00","1.00","Australia","ASX - All Markets","AUD","1.00","AUD"
"JPSFT","CASH COLLATERAL AUD JPSFT","Cash and/or Derivatives","Cash Collateral and Margins","62,000.00","0.03","62,000.00","62,000.00","100.00","Australia","-","AUD","1.00","AUD"
"LLL","LEO LITHIUM LTD","Materials","Equity","62,007.74","0.03","62,007.74","144,456.00","0.43","Australia","ASX - All Markets","AUD","1.00","AUD"
"PPM","PEPPER MONEY LTD","Financials","Equity","53,559.12","0.03","53,559.12","32,658.00","1.64","Australia","ASX - All Markets","AUD","1.00","AUD"
"MGX","MOUNT GIBSON IRON LTD","Materials","Equity","48,568.07","0.02","48,568.07","112,949.00","0.43","Australia","ASX - All Markets","AUD","1.00","AUD"
"AAC","AUSTRALIAN AGRICULTURAL COMPANY LT","Consumer Staples","Equity","40,183.47","0.02","40,183.47","29,331.00","1.37","Australia","ASX - All Markets","AUD","1.00","AUD"
"XPM4","SPI 200 JUN 24","Cash and/or Derivatives","Futures","0.00","0.00","786,600.00","4.00","7,866.00","-","Asx - Trade24","AUD","1.00","AUD"
