As-Of-Date,Symbol,Quantity,Percent of Assets,Name,BBG FIGI,Country,Currency,Exchange,Exchange (fx) Rate,Market Currency,Sector
2024-04-09,OXM,337104.0000000000,0.0659781136,OXFORD INDUSTRIES INC,BBG000BQPST9,US,USD,XNYS,1.0000000000,USD,Consumer Discretionary
2024-04-09,LKFN,583691.0000000000,0.0646708258,LAKELAND FINANCIAL CORP,BBG000BHRBS5,US,USD,XNGS,1.0000000000,USD,Financials
2024-04-09,CHCO,340713.0000000000,0.0626703683,CITY HOLDING,BBG000BFJQP8,US,USD,XNGS,1.0000000000,USD,Financials
2024-04-09,CBRL,509006.0000000000,0.0609877616,CRACKER BARREL OLD COUNTRY STORE I,BBG000BF3DG4,US,USD,XNGS,1.0000000000,USD,Consumer Discretionary
2024-04-09,NWBI,2921464.0000000000,0.0595087452,NORTHWEST BANCSHARES INC,BBG000BG8ZP8,US,USD,XNGS,1.0000000000,USD,Financials
2024-04-09,FCF,2337709.0000000000,0.0562642573,FIRST COMMONWEALTH FINANCIAL CORP,BBG000CND9X5,US,USD,XNYS,1.0000000000,USD,Financials
2024-04-09,GVMXX,30794469.0500000000,0.0555595902,SSC GOVERNMENT MM GVMXX,BBG000BQBCL7,US,USD,XNAS,1.0000000000,USD,
2024-04-09,HTLF,892656.0000000000,0.0554185442,HEARTLAND FINANCIAL USA INC,BBG000GKH2W9,US,USD,XNGS,1.0000000000,USD,Financials
2024-04-09,KFRC,434988.0000000000,0.0536730397,KFORCE INC,BBG000LK0LM0,US,USD,XNGS,1.0000000000,USD,Industrials
2024-04-09,STBA,871337.0000000000,0.0491429747,S AND T BANCORP INC,BBG000CKBB59,US,USD,XNGS,1.0000000000,USD,Financials
2024-04-09,BKE,678236.0000000000,0.0482496233,BUCKLE INC,BBG000BD98J1,US,USD,XNYS,1.0000000000,USD,Consumer Discretionary
2024-04-09,GABC,673188.0000000000,0.0409188754,GERMAN AMERICAN BANCORP INC,BBG000BH7QN9,US,USD,XNGS,1.0000000000,USD,Financials
2024-04-09,PFBC,284612.0000000000,0.0384456628,PREFERRED BANK,BBG000BRFJ81,US,USD,XNGS,1.0000000000,USD,Financials
2024-04-09,AMSF,436928.0000000000,0.0374683012,AMERISAFE INC,BBG000Q0JWB7,US,USD,XNGS,1.0000000000,USD,Financials
2024-04-09,SRCE,384097.0000000000,0.0352593523,1ST SOURCE CORP,BBG000BTHCT7,US,USD,XNGS,1.0000000000,USD,Financials
2024-04-09,GES,622809.0000000000,0.0341709940,GUESS INC,BBG000BC29D4,US,USD,XNYS,1.0000000000,USD,Consumer Discretionary
2024-04-09,CWENA,788765.0000000000,0.0317350222,CLEARWAY ENERGY INC CLASS A,BBG004P33YX3,US,USD,XNYS,1.0000000000,USD,Utilities
2024-04-09,ETD,520940.0000000000,0.0312981200,ETHAN ALLEN INTERIORS INC,BBG000BBVHG3,US,USD,XNYS,1.0000000000,USD,Consumer Discretionary
2024-04-09,PFC,814332.0000000000,0.0292228518,PREMIER FINANCIAL CORP,BBG000BHZFB5,US,USD,XNGS,1.0000000000,USD,Financials
2024-04-09,FBMS,623073.0000000000,0.0277103600,FIRST BANCSHARES INC,BBG000BHWJL9,US,USD,XNMS,1.0000000000,USD,Financials
2024-04-09,HFWA,795332.0000000000,0.0261446686,HERITAGE FINANCIAL CORP,BBG000BY3CF6,US,USD,XNGS,1.0000000000,USD,Financials
2024-04-09,CPF,616387.0000000000,0.0214077250,CENTRAL PACIFIC FINANCIAL CORP,BBG000BG4NC3,US,USD,XNYS,1.0000000000,USD,Financials
2024-04-09,USD,10222256.3000000000,0.0183571325,US DOLLAR,,US,USD,OTC,1.0000000000,USD,
2024-04-09,FAM4,10300.0000000000,0.0005239334,S&P MID 400 EMINI JUN 24,BBG01FTN86F5,US,USD,OTC,1.0000000000,USD,
2024-04-09,DMM4,3175.0000000000,-0.0017206118,DJIA MINI e-CBOT JUN 24,BBG01GZSXHW4,US,USD,OTC,1.0000000000,USD,
