Holding,Symbol,Weighting
Capitec Bank Holdings Limited,CPI,0.03%
NIO Inc. Class A,9866,0.03%
Shriram Finance Limited,511218,0.03%
Tech Mahindra Limited,532755,0.03%
Pilbara Minerals Limited,PLS,0.03%
Euronext NV,ENX,0.03%
Siemens Energy AG,ENR,0.03%
"T&D Holdings, Inc.",8795,0.03%
Wuxi Biologics (Cayman) Inc.,2269,0.03%
Telenor ASA,TEL,0.03%
United Utilities Group PLC,UU,0.03%
Unimicron Technology Corp.,3037,0.03%
Redeia Corporacion SA,RED,0.03%
SSAB AB Class B,SSAB.B,0.03%
Asics Corporation,7936,0.03%
Ambev SA,ABEV3,0.03%
Continental AG,CON,0.03%
"Zijin Mining Group Co., Ltd. Class H",2899,0.03%
Saab AB Class B,SAAB.B,0.03%
Stora Enso Oyj Class R,STERV,0.03%
Chailease Holding Co. Ltd.,5871,0.03%
Mineral Resources Limited,MIN,0.03%
H&M Hennes & Mauritz AB Class B,HM.B,0.03%
Teleperformance SE,TEP,0.03%
GEA Group Aktiengesellschaft,G1A,0.03%
Pan Pacific International Holdings Corporation,7532,0.03%
LY Corporation,4689,0.03%
Kajima Corporation,1812,0.03%
"Hua Nan Financial Holdings Co., Ltd.",2880,0.03%
Hindalco Industries Limited,500440,0.03%
"Fuji Electric Co., Ltd.",6504,0.03%
Trelleborg AB Class B,TREL.B,0.03%
Lite-On Technology Corp.,2301,0.03%
Bureau Veritas SA,BVI,0.03%
Pearson PLC,PSON,0.03%
Sartorius Stedim Biotech SA,DIM,0.03%
Baloise-Holding AG,BALN,0.03%
Shimadzu Corporation,7701,0.03%
"Chunghwa Telecom Co., Ltd",2412,0.03%
First Financial Holding Co. Ltd.,2892,0.03%
Northern Star Resources Ltd,NST,0.03%
Centrica plc,CNA,0.03%
NIBE Industrier AB Class B,NIBE.B,0.03%
Severn Trent Plc,SVT,0.03%
"Chubu Electric Power Company,Incorporated",9502,0.03%
Adani Power Limited,533096,0.03%
FinecoBank SpA,FBK,0.03%
DCC Plc,DCC,0.03%
Vivendi SE,VIV,0.03%
QIAGEN NV,QIA,0.03%
Wartsila Oyj Abp,WRT1V,0.03%
Norsk Hydro ASA,NHY,0.03%
"TOKYO GAS Co., Ltd.",9531,0.03%
Anglogold Ashanti PLC,ANG,0.03%
Great-West Lifeco Inc.,GWO,0.03%
TELUS Corporation,T,0.03%
"Nippon Paint Holdings Co., Ltd.",4612,0.03%
Emirates NBD Bank (P.J.S.C),EMIRATESNBD,0.03%
Trent Limited,500251,0.03%
Accor SA,AC,0.03%
CK Asset Holdings Limited,1113,0.03%
Banco de Sabadell SA,SAB,0.03%
"Capcom Co., Ltd.",9697,0.03%
Stockland,SGP,0.03%
Intertek Group plc,ITRK,0.03%
Mowi ASA,MOWI,0.03%
Roche Holding Ltd,RO,0.03%
Whitbread PLC,WTB,0.03%
Suzano S.A.,SUZB3,0.03%
"Samsung Fire & Marine Insurance Co., Ltd",000810,0.03%
"Innovent Biologics, Inc.",1801,0.03%
Asahi Kasei Corporation,3407,0.03%
SABIC Agri-Nutrients Co.,2020,0.03%
ENGIE SA.,ENGI,0.03%
Bajaj Finserv Limited,532978,0.03%
BOC Hong Kong (Holdings) Limited,2388,0.03%
Bharat Electronics Limited,500049,0.03%
Cipla Ltd,500087,0.03%
A.P. Moller - Maersk A/S Class B,MAERSK.B,0.03%
Sands China Ltd.,1928,0.03%
Mitsubishi Chemical Group Corporation,4188,0.03%
Localiza Rent A Car SA,RENT3,0.03%
Sonic Healthcare Limited,SHL,0.03%
Tata Consumer Products Limited,500800,0.03%
Auto Trader Group PLC,AUTO,0.03%
Lottery Corporation Limited,TLC,0.03%
Tryg A/S,TRYG,0.03%
Carrefour SA,CA,0.03%
Britannia Industries Ltd,500825,0.03%
Tenaris S.A.,TEN,0.03%
CAR Group Limited,CAR,0.03%
"Contemporary Amperex Technology Co., Ltd. Class A",300750,0.03%
Hong Kong & China Gas Co. Ltd.,3,0.03%
Hero Motocorp Limited,500182,0.03%
"PICC Property & Casualty Co., Ltd. Class H",2328,0.03%
Wise PLC Class A,WISE,0.03%
"Galp Energia, SGPS S.A. Class B",GALP,0.03%
"Yamaha Motor Co., Ltd.",7272,0.03%
Boliden AB,BOL,0.03%
SBI Life Insurance Co. Ltd.,540719,0.03%
Tenaga Nasional Bhd,5347,0.03%
Varun Beverages Ltd.,540180,0.03%
China Life Insurance Co. Ltd. Class H,2628,0.03%
"Rakuten Group, Inc.",4755,0.03%
WPP Plc,WPP,0.03%
Mediobanca - Banca di Credito Finanziario S.p.A.,MB,0.03%
Entain PLC,ENT,0.03%
Indian Oil Corp. Ltd.,530965,0.03%
SKF AB Class B,SKF.B,0.03%
Avenue Supermarts Ltd.,540376,0.03%
"China Mengniu Dairy Co., Ltd.",2319,0.03%
CapitaLand Integrated Commercial Trust,C38U,0.03%
Abu Dhabi Commercial Bank,ADCB,0.03%
"Ecopro Co., Ltd.",086520,0.03%
Renault SA,RNO,0.03%
"Tokyo Electric Power Company Holdings, Incorporated",9501,0.03%
Alchip Technologies Ltd.,3661,0.03%
BeiGene Ltd,6160,0.03%
"Woori Financial Group, Inc.",316140,0.03%
Powszechny Zaklad Ubezpieczen Spolka Akcyjna,PZU,0.03%
ORLEN Spolka Akcyjna,PKN,0.03%
Hindustan Aeronautics Limited,541154,0.03%
Fisher & Paykel Healthcare Corporation Limited,FPH,0.03%
TOKYU CORPORATION,9005,0.03%
"Nissan Motor Co., Ltd.",7201,0.03%
Grupo Bimbo SAB de CV Class A,BIMBOA,0.03%
"Ecopro BM Co., Ltd.",247540,0.03%
CapitaLand Ascendas REIT,A17U,0.03%
MinebeaMitsumi Inc.,6479,0.03%
Keppel Ltd.,BN4,0.03%
Mondi plc,MNDI,0.03%
"Osaka Gas Co., Ltd.",9532,0.03%
"Daito Trust Construction Co., Ltd.",1878,0.03%
Eiffage SA,FGR,0.03%
Formosa Plastics Corporation,1301,0.03%
Bid Corporation Limited,BID,0.03%
Indutrade AB,INDT,0.03%
Banco BPM SpA,BAMI,0.03%
KB Financial Group Inc.,105560,0.03%
BANK POLSKA KASA OPIEKI SA,PEO,0.03%
Unibail-Rodamco-Westfield SE Stapled Secs Cons of 1 Sh Unibail Rodamco + 1 Sh WFD Unib Rod,URW,0.03%
Delta Electronics (Thailand) Public Co. Ltd.(Alien Mkt),DELTA.F,0.02%
"Advanced Info Service Public Co., Ltd.(Alien Mkt)",ADVANC.F,0.02%
PTT Exploration & Production Plc(Alien Mkt),PTTEP.F,0.02%
Kasikornbank Public Co. Ltd.(Alien Mkt),KBANK.F,0.02%
Vipshop Holdings Ltd Sponsored ADR,VIPS,0.02%
Full Truck Alliance Co. Ltd. Sponsored ADR,YMM,0.02%
Tencent Music Entertainment Group Sponsored ADR Class A,TME,0.02%
Ambev SA Sponsored ADR,ABEV,0.02%
TAL Education Group Sponsored ADR Class A,TAL,0.02%
Cemex SAB de CV Sponsored ADR,CX,0.02%
Kanzhun Ltd. Sponsored ADR,BZ,0.02%
Wipro Limited Sponsored ADR,WIT,0.02%
ABN AMRO Bank N.V. Depositary receipts,ABN,0.02%
Bayerische Motoren Werke AG Pref,BMW3,0.02%
Banco Bradesco SA Pfd,BBDC4,0.02%
Hyundai Motor Co Ltd Pfd. Shs 2,005387,0.02%
Epiroc AB Class B,EPI.B,0.02%
M&G Plc,MNG,0.02%
Li Ning Company Limited,2331,0.02%
"Tobu Railway Co., Ltd.",9001,0.02%
"Taishin Financial Holdings Co., Ltd.",2887,0.02%
OMRON Corporation,6645,0.02%
"Kintetsu Group Holdings Co., Ltd.",9041,0.02%
Bechtle AG,BC8,0.02%
Socionext Inc.,6526,0.02%
Bank Albilad,1140,0.02%
Beazley Plc,BEZ,0.02%
Silergy Corp.,6415,0.02%
Banco de Chile,CHILE,0.02%
"Yamato Holdings Co., Ltd.",9064,0.02%
"Nomura Real Estate Master Fund, Inc.",3462,0.02%
Land Securities Group PLC,LAND,0.02%
Isetan Mitsukoshi Holdings Ltd.,3099,0.02%
Berkeley Group Holdings plc,BKG,0.02%
TVS Motor Company Limited,532343,0.02%
Coforge Limited,532541,0.02%
Dentsu Group Inc.,4324,0.02%
Elia Group SA/NV,ELI,0.02%
Temenos AG,TEMN,0.02%
Prio SA,PRIO3,0.02%
"Chiba Bank, Ltd.",8331,0.02%
"Yakult Honsha Co., Ltd.",2267,0.02%
Orion Oyj Class B,ORNBV,0.02%
ConvaTec Group Plc,CTEC,0.02%
PT Astra International Tbk,ASII,0.02%
TIS Inc.,3626,0.02%
China Tower Corp. Ltd. Class H,788,0.02%
Yokogawa Electric Corp.,6841,0.02%
"Fukuoka Financial Group, Inc.",8354,0.02%
Georg Fischer AG,GF,0.02%
Rumo SA,RAIL3,0.02%
"Nissin Foods Holdings Co., Ltd.",2897,0.02%
Commercial International Bank - Egypt (CIB) S.A.E.,COMI,0.02%
"Kobe Steel, Ltd.",5406,0.02%
China Resources Beer (Holdings) Co. Ltd.,291,0.02%
Orkla ASA,ORK,0.02%
"Samsung Electro-Mechanics Co., Ltd",009150,0.02%
Suntory Beverage & Food Ltd.,2587,0.02%
Barratt Developments PLC,BDEV,0.02%
"Advantech Co., Ltd.",2395,0.02%
Nissan Chemical Corporation,4021,0.02%
BELIMO Holding AG,BEAN,0.02%
CapitaLand Investment Limited,9CI,0.02%
Israel Discount Bank Limited Class A,DSCT,0.02%
Vedanta Limited,500295,0.02%
Sanlam Limited,SLM,0.02%
"IBIDEN CO., LTD.",4062,0.02%
Shenzhou International Group Holdings Limited,2313,0.02%
United Spirits Limited,532432,0.02%
Bupa Arabia for Cooperative Insurance Co.,8210,0.02%
LEG Immobilien SE,LEG,0.02%
"SK Square Co., Ltd.",402340,0.02%
PETRONAS Chemicals Group Bhd.,5183,0.02%
"M3, Inc.",2413,0.02%
"China Pacific Insurance (Group) Co., Ltd. Class H",2601,0.02%
Sodexo SA,SW,0.02%
Grupo Aeroportuario del Pacifico SAB de CV Class B,GAPB,0.02%
Altium,ALU,0.02%
"SBI Holdings, Inc.",8473,0.02%
Schindler Holding AG,SCHN,0.02%
Rexel SA,RXL,0.02%
Ultrapar Participacoes S.A.,UGPA3,0.02%
Akbank T.A.S.,AKBNK.E,0.02%
"Rohm Co., Ltd.",6963,0.02%
CITIC Limited,267,0.02%
D\'Ieteren Group SA/NV,DIE,0.02%
Groupe Bruxelles Lambert SA,GBLB,0.02%
Pidilite Industries Limited,500331,0.02%
"Postal Savings Bank of China Co., Ltd. Class H",1658,0.02%
ICICI Lombard General Insurance Co. Ltd.,540716,0.02%
"XPeng, Inc. Class A",9868,0.02%
Barry Callebaut AG,BARN,0.02%
La Francaise des Jeux SA,FDJ,0.02%
APA Group,APA,0.02%
Nemetschek SE,NEM,0.02%
Companhia de Saneamento Basico do Estado de Sao Paulo SABESP,SBSP3,0.02%
Nippon Sanso Holdings Corporation,4091,0.02%
Banque Saudi Fransi,1050,0.02%
Nexi S.p.A.,NEXI,0.02%
Kingfisher Plc,KGF,0.02%
Getinge AB Class B,GETI.B,0.02%
Nextdc Limited,NXT,0.02%
Grupo Financiero Inbursa SAB de CV Class O,GFINBURO,0.02%
China Resources Power Holdings Co. Ltd.,836,0.02%
Castellum AB,CAST,0.02%
Mitsubishi HC Capital Inc.,8593,0.02%
Resonac Holdings Corporation,4004,0.02%
Etihad Etisalat Co.,7020,0.02%
"Nippon Building Fund, Inc.",8951,0.02%
Coca-Cola HBC AG,CCH,0.02%
KakaoBank Corp.,323410,0.02%
Nedbank Group Limited,NED,0.02%
"Canadian Tire Corporation, Limited Class A",CTC.A,0.02%
Godrej Consumer Products Limited,532424,0.02%
Endeavour Group Ltd,EDV,0.02%
China Development Financial Holding Corp.,2883,0.02%
"eMemory Technology, Inc.",3529,0.02%
Meritz Financial Group Inc.,138040,0.02%
CITIC Securities Co. Ltd. Class H,6030,0.02%
"SG Holdings Co., Ltd.",9143,0.02%
"Keisei Electric Railway Co., Ltd.",9009,0.02%
Deutsche Lufthansa AG,LHA,0.02%
MISUMI Group Inc.,9962,0.02%
Siemens Limited,500550,0.02%
Henkel AG & Co. KGaA,HEN,0.02%
ANDRITZ AG,ANDR,0.02%
B&M European Value Retail SA,BME,0.02%
China Overseas Land & Investment Limited,688,0.02%
DLF Limited,532868,0.02%
UNITE Group plc,UTG,0.02%
"Mitsui Chemicals, Inc.",4183,0.02%
Auckland International Airport Limited,AIA,0.02%
PB Fintech Limited,543390,0.02%
WH Group Ltd. (HK),288,0.02%
"Kyowa Kirin Co., Ltd.",4151,0.02%
Taylor Wimpey plc,TW,0.02%
JBS S.A.,JBSS3,0.02%
TOPPAN Holdings Inc.,7911,0.02%
"Samsung Life Insurance Co., Ltd.",032830,0.02%
"Toyo Suisan Kaisha, Ltd.",2875,0.02%
Max Healthcare Institute Ltd,543220,0.02%
PUMA SE,PUM,0.02%
Tele2 AB Class B,TEL2.B,0.02%
Arab National Bank,1080,0.02%
"Wuliangye Yibin Co., Ltd. Class A",000858,0.02%
Poste Italiane SpA,PST,0.02%
SIG Group AG,SIGN,0.02%
Ampol Limited,ALD,0.02%
Industrivarden AB Class C,INDU.C,0.02%
Kesko Oyj Class B,KESKOB,0.02%
Divi\'s Laboratories Limited,532488,0.02%
"International Container Terminal Services, Inc.",ICT,0.02%
Singapore Airlines Ltd.,C6L,0.02%
Turkiye Petrol Rafinerileri A.S.,TUPRS.E,0.02%
Bollore SE,BOL,0.02%
SK Inc.,034730,0.02%
Seek Limited,SEK,0.02%
Umicore SA,UMI,0.02%
Evergreen Marine Corp. (Taiwan) Ltd.,2603,0.02%
Info Edge India Ltd.,532777,0.02%
Vicinity Centres,VCX,0.02%
GPT Group,GPT,0.02%
Industries of Qatar Co.,IQCD,0.02%
Ayala Land Inc.,ALI,0.02%
Grupo Elektra SAB de CV,ELEKTRA,0.02%
bioMerieux SA,BIM,0.02%
Aeroports de Paris ADP,ADP,0.02%
Yes Bank Limited,532648,0.02%
Dino Polska SA,DNP,0.02%
Ambuja Cements Limited,500425,0.02%
Shree Cement Limited,500387,0.02%
Airtac International Group,1590,0.02%
"Far Eastone Telecommunications Co., Ltd.",4904,0.02%
Dexus,DXS,0.02%
Indian Hotels Co. Ltd.,500850,0.02%
Grupo Aeroportuario del Sureste SAB de CV Class B,ASURB,0.02%
Kurita Water Industries Ltd.,6370,0.02%
Meridian Energy Limited,MEL,0.02%
Singapore Technologies Engineering Ltd,S63,0.02%
Seiko Epson Corp.,6724,0.02%
Bank of the Philippine Islands,BPI,0.02%
"Sumitomo Metal Mining Co., Ltd.",5713,0.02%
"HLB Co., Ltd.",028300,0.02%
LPP S.A.,LPP,0.02%
"Daifuku Co., Ltd.",6383,0.02%
Warehouses De Pauw SA,WDP,0.02%
J Sainsbury plc,SBRY,0.02%
BYD Company Limited Class A,002594,0.02%
Skanska AB Class B,SKA.B,0.02%
Beijer Ref AB Class B,BEIJ.B,0.02%
Yara International ASA,YAR,0.02%
"Meiji Holdings Co., Ltd.",2269,0.02%
JSR Corp.,4185,0.02%
Formosa Chemicals & Fibre Corporation,1326,0.02%
Dassault Aviation SA,AM,0.02%
"Ping An Insurance (Group) Company of China, Ltd. Class A",601318,0.02%
Aisin Corporation,7259,0.02%
Rightmove plc,RMV,0.02%
Wilmar International Limited,F34,0.02%
"SK Innovation Co., Ltd",096770,0.02%
ALTEOGEN Inc.,196170,0.02%
Helvetia Holding Ltd,HELN,0.02%
Adani Energy Solutions Ltd,539254,0.02%
Volvo AB Class A,VOLV.A,0.02%
Shoprite Holdings Limited,SHP,0.02%
Eurobank Ergasias Services & Holdings SA,EUROB,0.02%
Masraf Al-Rayan QSC,MARK,0.02%
Vibra Energia SA,VBBR3,0.02%
REC Limited,532955,0.02%
Fortum Oyj,FORTUM,0.02%
Sasol Limited,SOL,0.02%
Recordati Industria Chimica e Farmaceutica S.p.A.,REC,0.02%
"Zensho Holdings Co., Ltd.",7550,0.02%
CTS Eventim AG & Co. KGaA,EVD,0.02%
AGC Inc.,5201,0.02%
Delivery Hero SE,DHER,0.02%
RS Group PLC,RS1,0.02%
Central Pattana Public Co. Ltd.,CPN,0.02%
Cummins India Limited,500480,0.02%
Persimmon Plc,PSN,0.02%
HDFC Asset Management Co. Ltd.,541729,0.02%
LTIMindtree Limited,540005,0.02%
Bankinter SA,BKT,0.02%
"Hanwha Aerospace Co., Ltd.",012450,0.02%
Spark New Zealand Limited,SPK,0.02%
Getlink SE,GET,0.02%
Lupin Limited,500257,0.02%
Zalando SE,ZAL,0.02%
MatsukiyoCocokara & Co.,3088,0.02%
PT Bank Negara Indonesia (Persero) Tbk Class B,BBNI,0.02%
Havells India Limited,517354,0.02%
National Bank of Greece S.A.,ETE,0.02%
Elbit Systems Ltd,ESLT,0.02%
Aurizon Holdings Ltd.,AZJ,0.02%
"China Merchants Bank Co., Ltd. Class A",600036,0.02%
Carl Zeiss Meditec AG,AFX,0.02%
Hamamatsu Photonics K.K.,6965,0.02%
"Odakyu Electric Railway Co., Ltd.",9007,0.02%
Arca Continental SAB de CV,AC,0.02%
Worley Limited,WOR,0.02%
Elisa Oyj Class A,ELISA,0.02%
Obayashi Corporation,1802,0.02%
Demant A/S,DEMANT,0.02%
SCOR SE,SCR,0.02%
"Sunny Optical Technology (Group) Co., Ltd.",2382,0.02%
DS Smith Plc,SMDS,0.02%
Abu Dhabi Islamic Bank,ADIB,0.02%
KONAMI Group Corporation,9766,0.02%
"Compal Electronics, Inc.",2324,0.02%
Singapore Exchange Ltd.,S68,0.02%
Davide Campari-Milano N.V.,CPR,0.02%
InterGlobe Aviation Ltd,539448,0.02%
Orica Limited,ORI,0.02%
Sojitz Corp.,2768,0.02%
Securitas AB Class B,SECU.B,0.02%
"Bank of Communications Co., Ltd. Class H",3328,0.02%
"Hulic Co., Ltd.",3003,0.02%
"BDO Unibank, Inc.",BDO,0.02%
Telia Company AB,TELIA,0.02%
Medibank Private Ltd.,MPL,0.02%
SUMCO Corporation,3436,0.02%
"Niterra Co.,Ltd.",5334,0.02%
Gecina SA,GFC,0.02%
Knorr-Bremse AG,KBX,0.02%
Koc Holding A.S.,KCHOL.E,0.02%
Swedish Orphan Biovitrum AB,SOBI,0.02%
Cholamandalam Investment and Finance Co. Ltd.,511243,0.02%
Phoenix Group Holdings plc,PHNX,0.02%
Mazda Motor Corp.,7261,0.02%
Samsonite International S.A.,1910,0.02%
Avolta AG,AVOL,0.02%
Yankuang Energy Group Company Limited Class H,1171,0.02%
Srf Limited,503806,0.02%
Dubai Electricity & Water Authority PJSC,DEWA,0.02%
REA Group Ltd,REA,0.02%
JB Hi-Fi Limited,JBH,0.02%
"Ricoh Company, Ltd.",7752,0.02%
Wharf Real Estate Investment Company Limited,1997,0.02%
CEZ as,CEZ,0.02%
"Doosan Enerbility Co., Ltd.",034020,0.02%
"Concordia Financial Group, Ltd.",7186,0.02%
Persistent Systems Limited,533179,0.02%
Aldar Properties - P J S C,ALDAR,0.02%
PSP Swiss Property AG,PSPN,0.02%
Adecco Group AG,ADEN,0.02%
Dubai Islamic Bank PJSC,DIB,0.02%
Trend Micro Incorporated,4704,0.02%
Saputo Inc.,SAP,0.02%
Wiwynn Corp.,6669,0.02%
President Chain Store Corporation,2912,0.02%
"Hankyu Hanshin Holdings, Inc.",9042,0.02%
Treasury Wine Estates Limited,TWE,0.02%
"Taiwan Mobile Co., Ltd.",3045,0.02%
Howden Joinery Group PLC,HWDN,0.02%
Pegatron Corporation,4938,0.02%
MTR Corporation Limited,66,0.02%
Nova Ltd.,NVMI,0.02%
BIM Birlesik Magazalar A.S.,BIMAS.E,0.02%
Commercial Bank (Q.S.C.),CBQK,0.02%
Bidvest Group Limited,BVT,0.02%
CSPC Pharmaceutical Group Limited,1093,0.02%
Global Unichip Corp.,3443,0.02%
Lifco AB Class B,LIFCO.B,0.02%
EMS-CHEMIE HOLDING AG,EMSN,0.02%
"Shizuoka Financial Group, Inc.",5831,0.02%
"NEXON Co., Ltd.",3659,0.02%
Washington H. Soul Pattinson and Co. Ltd.,SOL,0.02%
"Nippon Prologis REIT, Inc.",3283,0.02%
Colgate-Palmolive (India) Limited,500830,0.02%
VERBUND AG Class A,VER,0.02%
Turk Hava Yollari A.O.,THYAO.E,0.02%
Makita Corporation,6586,0.02%
Tecan Group AG,TECN,0.02%
Japan Real Estate Investment Corp.,8952,0.02%
"Krafton, Inc.",259960,0.02%
"Jeronimo Martins, SGPS S.A.",JMT,0.02%
ENN Energy Holdings Limited,2688,0.02%
Randstad NV,RAND,0.02%
"Sekisui Chemical Co., Ltd.",4204,0.02%
Saudi Electricity Co.,5110,0.02%
"Kyoto Financial Group,Inc.",5844,0.02%
Raia Drogasil S.A.,RADL3,0.02%
Alpha Dhabi Holding PJSC,ALPHADHABI,0.02%
Volkswagen AG,VOW,0.02%
China CITIC Bank Corporation Ltd Class H,998,0.02%
Syensqo SA/NV,SYENS,0.02%
Mizrahi Tefahot Bank Ltd,MZTF,0.02%
Taisei Corporation,1801,0.02%
Bajaj Auto Limited,532977,0.02%
ASR Nederland N.V.,ASRNL,0.02%
OMV AG,OMV,0.02%
Dr. Reddy\'s Laboratories Ltd.,500124,0.02%
Geely Automobile Holdings Limited,175,0.02%
"SAMSUNG SDS CO., LTD.",018260,0.02%
British Land Company PLC,BLND,0.02%
Burberry Group plc,BRBY,0.02%
Schroders PLC,SDR,0.02%
BB Seguridade Participacoes SA,BBSE3,0.02%
E Ink Holdings Inc,8069,0.02%
Japan Metropolitan Fund Investment Corporation,8953,0.02%
Inventec Corporation,2356,0.02%
Kongsberg Gruppen ASA,KOG,0.02%
AIB Group plc,A5G,0.02%
Klepierre SA,LI,0.02%
IMI plc,IMI,0.02%
Taiwan Cement Corp.,1101,0.02%
MRF Limited,500290,0.02%
Infratil Limited,IFT,0.02%
Valmet Corp,VALMT,0.02%
Amplifon S.p.A.,AMP,0.02%
Otsuka Corporation,4768,0.02%
Scout24 SE,G24,0.02%
Ramsay Health Care Limited,RHC,0.02%
GAIL (India) Limited,532155,0.02%
Tube Investments of India Limited,540762,0.02%
"Gigabyte Technology Co., Ltd.",2376,0.02%
Hiscox Ltd,HSX,0.02%
POSCO Future M,003670,0.02%
Eicher Motors Limited,505200,0.02%
Agricultural Bank of China Limited Class A,601288,0.02%
Mirvac Group,MGR,0.02%
Intermediate Capital Group plc,ICP,0.02%
LG Corp,003550,0.02%
Equatorial Energia S.A.,EQTL3,0.02%
Aalberts N.V.,AALB,0.02%
Fibra Uno Administracion SA de CV,FUNO11,0.02%
"Shanghai Commercial & Savings Bank, Ltd.",5876,0.02%
"SM Prime Holdings, Inc.",SMPH,0.02%
Weir Group PLC,WEIR,0.02%
Bluescope Steel Limited,BSL,0.02%
"China Yangtze Power Co., Ltd. Class A",600900,0.02%
Endesa S.A.,ELE,0.02%
Arkema SA,AKE,0.02%
"Micro-Star International Co., Ltd.",2377,0.02%
Santander Bank Polska SA,SPL,0.02%
Coca-Cola Femsa SAB de CV Units Cons of 5 Shs -L- + 3 Shs Series -B-,KOFUBL,0.02%
Cemex SAB de CV Cert Part Ord Repr 2 ShsA & 1 ShsB,CEMEXCPO,0.02%
PTT Oil and Retail Business Public Co Limited(Alien Mkt),OR.F,0.01%
"Krung Thai Bank Public Co., Ltd.(Alien Mkt)",KTB.F,0.01%
SCB X Public Company Limited(Alien Mkt),SCB.F,0.01%
Central Retail Corp. PCL(Alien Mkt),CRC.F,0.01%
Intouch Holdings Public Company Limited (Alien Mkt),INTUCH.F,0.01%
Charoen Pokphand Foods Public Co. Ltd.(Alien Mkt),CPF.F,0.01%
Siam Cement Public Co. Ltd.(Alien Mkt),SCC.F,0.01%
Gulf Energy Development Public Co. Ltd.(Alien Mkt),GULF.F,0.01%
Energy Absolute Public Co. Ltd.(Alien Mkt),EA.F,0.01%
"Minor International Public Co., Ltd.(Alien Mkt)",MINT.F,0.01%
TMBThanachart Bank Public Company Limited (Alien Mkt),TTB.F,0.01%
Bangkok Expressway and Metro Public Company Limited(Alien Mkt),BEM.F,0.01%
True Corporation Public Company Limited(Alien Mkt),TRUE.F,0.01%
CP Axtra Public Company Limited (Alien Mkt),CPAXT.F,0.01%
"Home Product Center Public Co., Ltd.(Alien Mkt)",HMPRO.F,0.01%
AUO Corporation Sponsored ADR,AUOTY,0.01%
Dr. Reddy\'s Laboratories Ltd. Sponsored ADR,RDY,0.01%
Banco Santander-Chile Sponsored ADR,BSAC,0.01%
Bancolombia S.A. Sponsored ADR Pfd,CIB,0.01%
Gerdau S.A. Pfd Sponsored ADR Repr 1 Pfd Sh,GGB,0.01%
"iQIYI, Inc. Sponsored ADR Class A",IQ,0.01%
MINISO Group Holding Ltd. Sponsored ADR,MNSO,0.01%
"RLX Technology, Inc. Sponsored ADR Class A",RLX,0.01%
Qifu Technology. Inc ADR Class A,QFIN,0.01%
Korea Electric Power Corporation Sponsored ADR,KEP,0.01%
Autohome Inc. Sponsored ADR Class A,ATHM,0.01%
Sociedad Quimica y Minera de Chile S.A. Sponsored ADR Pfd Series B,SQM,0.01%
Bangkok Bank Public Company Limited NVDR,BBL.R,0.01%
Siam Cement Public Co. Ltd. NVDR,SCC.R,0.01%
SCB X Public Company Limited NVDR,SCB.R,0.01%
Kasikornbank Public Co. Ltd. NVDR,KBANK.R,0.01%
Gerdau S.A. Pfd,GGBR4,0.01%
LG Chem Ltd Pfd Registered Shs Issue 01,051915,0.01%
Hyundai Motor Co Ltd Pfd Shs Non-Voting,005385,0.01%
Companhia Paranaense de Energia - COPEL Pfd Registered B,CPLE6,0.01%
"Grifols, S.A. Pref Class B",GRF.P,0.01%
FUCHS SE Pref Registered Shs,FPE3,0.01%
Sociedad Quimica y Minera de Chile SA Pfd Series B,SQM.B,0.01%
Telecom Italia Rsp,TITR,0.01%
Centrais Eletricas Brasileiras SA-Eletrobras Pfd  B,ELET6,0.01%
Companhia Energetica de Minas Gerais SA Pfd,CMIG4,0.01%
Voltronic Power Technology Corp.,6409,0.01%
"Sumitomo Rubber Industries, Ltd.",5110,0.01%
Bajaj Holdings & Investment Limited.,500490,0.01%
TIM S.A.,TIMS3,0.01%
"New China Life Insurance Co., Ltd. Class H",1336,0.01%
Hindustan Petroleum Corporation Limited,500104,0.01%
Nisshin Seifun Group Inc.,2002,0.01%
Far Eastern New Century Corporation,1402,0.01%
Muthoot Finance Ltd,533398,0.01%
Tate & Lyle PLC,TATE,0.01%
Amano Corporation,6436,0.01%
Mesaieed Petrochemical Holding Company Q.S.C.,MPHC,0.01%
"Gree Electric Appliances, Inc. of Zhuhai Class A",000651,0.01%
Glenmark Pharmaceuticals Limited,532296,0.01%
"Catcher Technology Co., Ltd.",2474,0.01%
Indus Towers Limited,534816,0.01%
"Fuyao Glass Industry Group Co., Ltd. Class H",3606,0.01%
China Medical System Holdings Ltd.,867,0.01%
Manila Electric Co.,MER,0.01%
IGO Limited,IGO,0.01%
UPL Limited,512070,0.01%
FSN E-Commerce Ventures Ltd.,543384,0.01%
"Nagase & Co., Ltd.",8012,0.01%
Pirelli & C. S.p.A.,PIRC,0.01%
China Resources Mixc Lifestyle Services Ltd.,1209,0.01%
Aselsan Elektronik Sanayi ve Ticaret A.S. Class B,ASELS.E,0.01%
Yuhan Corporation,000100,0.01%
"Money Forward, Inc.",3994,0.01%
"Hirogin Holdings, Inc.",7337,0.01%
Alumina Limited,AWC,0.01%
"Sumitomo Forestry Co., Ltd.",1911,0.01%
PT Adaro Energy Indonesia Tbk,ADRO,0.01%
"HIROSE ELECTRIC CO., LTD.",6806,0.01%
"Iida Group Holdings Co., Ltd.",3291,0.01%
Acer Incorporated,2353,0.01%
Bachem Holding AG Class B,BANB,0.01%
Azrieli Group Ltd.,AZRG,0.01%
