Holding,Symbol,Weighting
Danone SA,BN,0.15%
Alcon AG,ALC,0.15%
Industrial and Commercial Bank of China Limited Class H,1398,0.15%
TC Energy Corporation,TRP,0.15%
Samsung Electronics Co Ltd Pfd  Non-Voting,005935,0.14%
Lonza Group AG,LONN,0.14%
Rolls-Royce Holdings plc,RR,0.14%
Capgemini SE,CAP,0.14%
DENSO CORPORATION,6902,0.14%
Hong Kong Exchanges & Clearing Ltd.,388,0.14%
Lloyds Banking Group plc,LLOY,0.14%
Woodside Energy Group Ltd,WDS,0.14%
"DAIKIN INDUSTRIES, LTD.",6367,0.14%
Deutsche Boerse AG,DB1,0.14%
Experian PLC,EXPN,0.14%
Wolters Kluwer N.V.,WKL,0.14%
Netease Inc,9999,0.14%
Flutter Entertainment Plc,FLTR,0.14%
"Hon Hai Precision Industry Co., Ltd.",2317,0.14%
"Seven & I Holdings Co., Ltd.",3382,0.13%
Goodman Group,GMG,0.13%
SoftBank Corp.,9434,0.13%
Nippon Telegraph and Telephone Corporation,9432,0.13%
"Murata Manufacturing Co., Ltd.",6981,0.13%
Advantest Corp.,6857,0.13%
Infosys Limited,500209,0.13%
Pernod Ricard SA,RI,0.13%
Compagnie de Saint-Gobain SA,SGO,0.13%
Bayerische Motoren Werke AG,BMW,0.13%
PT Bank Central Asia Tbk,BBCA,0.13%
Swiss Re AG,SREN,0.13%
Infosys Limited Sponsored ADR,INFY,0.12%
Bank of China Limited Class H,3988,0.12%
Saudi National Bank,1180,0.12%
Partners Group Holding AG,PGHN,0.12%
Ashtead Group plc,AHT,0.12%
"Oriental Land Co., Ltd.",4661,0.12%
SMC Corporation,6273,0.12%
Kering SA,KER,0.12%
Barclays PLC,BARC,0.12%
adidas AG,ADS,0.12%
Bharti Airtel Limited,532454,0.12%
Eni S.p.A.,ENI,0.12%
Oversea-Chinese Banking Corporation Limited,O39,0.12%
Stellantis N.V.,STLAM,0.12%
Dassault Systemes SA,DSY,0.12%
Givaudan SA,GIVN,0.12%
Mitsubishi Electric Corp.,6503,0.11%
STMicroelectronics NV,STMPA,0.11%
Rio Tinto Limited,RIO,0.11%
Bayer AG,BAYN,0.11%
Naspers Limited Class N,NPN,0.11%
ASM International N.V.,ASM,0.11%
3i Group plc,III,0.11%
Axis Bank Limited,532215,0.11%
Japan Tobacco Inc.,2914,0.11%
Sun Life Financial Inc.,SLF,0.11%
Intact Financial Corporation,IFC,0.11%
Grupo Financiero Banorte SAB de CV Class O,GFNORTEO,0.11%
Koninklijke Ahold Delhaize N.V.,AD,0.11%
Assicurazioni Generali S.p.A.,G,0.11%
Volkswagen AG Pref,VOW3,0.1%
E.ON SE,EOAN,0.1%
"Baidu, Inc. Class A",9888,0.1%
Vestas Wind Systems A/S,VWS,0.1%
Hyundai Motor Company,005380,0.1%
"Chugai Pharmaceutical Co., Ltd.",4519,0.1%
Heineken NV,HEIA,0.1%
Amadeus IT Group SA Class A,AMS,0.1%
Disco Corporation,6146,0.1%
"Ping An Insurance (Group) Company of China, Ltd. Class H",2318,0.1%
Canon Inc.,7751,0.1%
Saudi Arabian Oil Co.,2222,0.1%
National Bank of Canada,NA,0.1%
Terumo Corporation,4543,0.1%
Anglo American plc,AAL,0.1%
ASSA ABLOY AB Class B,ASSA.B,0.1%
Fanuc Corporation,6954,0.1%
Legrand SA,LR,0.1%
Komatsu Ltd.,6301,0.1%
Woolworths Group Ltd,WOW,0.1%
Fujitsu Limited,6702,0.1%
Larsen & Toubro Ltd.,500510,0.1%
Cie Generale des Etablissements Michelin SA,ML,0.1%
"JD.com, Inc. Class A",9618,0.1%
DSV A/S,DSV,0.1%
Hindustan Unilever Limited,500696,0.1%
Deutsche Bank Aktiengesellschaft,DBK,0.1%
L\'Oreal S.A.,OR,0.1%
PT Bank Rakyat Indonesia (Persero) Tbk Class B,BBRI,0.1%
Nutrien Ltd.,NTR,0.1%
Fortescue Ltd,FMG,0.1%
