Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","102,072,150.00","0.38","102,072,150.00","1,134,135.00","90.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KMB","KIMBERLY CLARK CORP","Consumer Staples","Equity","101,598,947.05","0.38","101,598,947.05","806,021.00","126.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CL","COLGATE-PALMOLIVE","Consumer Staples","Equity","100,520,277.84","0.37","100,520,277.84","1,145,922.00","87.72","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"APD","AIR PRODUCTS AND CHEMICALS INC","Materials","Equity","96,082,601.31","0.36","96,082,601.31","404,337.00","237.63","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ETN","EATON PLC","Industrials","Equity","95,305,608.20","0.35","95,305,608.20","292,510.00","325.82","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SRE","SEMPRA","Utilities","Equity","94,827,766.11","0.35","94,827,766.11","1,339,943.00","70.77","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AXP","AMERICAN EXPRESS","Financials","Equity","89,425,940.97","0.33","89,425,940.97","399,027.00","224.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMC","MARSH & MCLENNAN INC","Financials","Equity","89,187,626.60","0.33","89,187,626.60","436,595.00","204.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","85,620,341.70","0.32","85,620,341.70","292,090.00","293.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","84,385,110.00","0.31","84,385,110.00","165,461.00","510.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MET","METLIFE INC","Financials","Equity","84,098,575.68","0.31","84,098,575.68","1,139,856.00","73.78","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CB","CHUBB LTD","Financials","Equity","83,825,832.88","0.31","83,825,832.88","331,118.00","253.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BK","BANK OF NEW YORK MELLON CORP","Financials","Equity","82,241,314.48","0.31","82,241,314.48","1,442,324.00","57.02","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FIS","FIDELITY NATIONAL INFORMATION SERV","Financials","Equity","81,423,105.12","0.30","81,423,105.12","1,114,164.00","73.08","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XEL","XCEL ENERGY INC","Utilities","Equity","80,976,039.04","0.30","80,976,039.04","1,497,338.00","54.08","United States","NASDAQ","USD","1.00","USD","-"
"EMR","EMERSON ELECTRIC","Industrials","Equity","78,930,686.43","0.29","78,930,686.43","688,329.00","114.67","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADM","ARCHER DANIELS MIDLAND","Consumer Staples","Equity","78,339,914.64","0.29","78,339,914.64","1,239,948.00","63.18","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EIX","EDISON INTERNATIONAL","Utilities","Equity","78,319,094.40","0.29","78,319,094.40","1,108,080.00","70.68","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NSC","NORFOLK SOUTHERN CORP","Industrials","Equity","75,909,864.24","0.28","75,909,864.24","303,324.00","250.26","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Utilities","Equity","73,827,996.25","0.27","73,827,996.25","1,105,375.00","66.79","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","73,600,745.84","0.27","73,600,745.84","169,544.00","434.11","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ED","CONSOLIDATED EDISON INC","Utilities","Equity","73,034,109.60","0.27","73,034,109.60","806,116.00","90.60","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
