Name,Exchange,Ticker,IESG,DVDY
TELSTRA GROUP LTD,ASX,TLS,1.5,3.74
BLUESCOPE STEEL LTD,ASX,BSL,1.01
GPT GROUP STAPLED UNITS,ASX,GPT,0.81
CSR LTD,ASX,CSR,0.4
BELLEVUE GOLD LTD,ASX,BGL,0.21
SIGMA HEALTHCARE LTD,ASX,SIG,0.12
Medibank Pvt Ltd,ASX,MPL,3.99
ORORA LTD,ASX,ORA,0.29
G8 EDUCATION LTD,ASX,GEM,0.08
TRANSURBAN GROUP STAPLED UNITS,ASX,TCL,3.97,3.75
ORICA LTD,ASX,ORI,0.84
MACQUARIE GROUP LTD DEF,ASX,MQG,6.96,4.34
Domain Holdings Australia Ltd,ASX,DHG,3.54
STEADFAST GROUP LTD,ASX,SDF,0.59,3.72
